Station,RA,DEC,Start_Epoch,Exposure(hr),FoV(deg),Center Frequency(GHz),Bandwidth(GHz),Mean(¦ÌJy),RMS(¦ÌJy),UL_95%(¦ÌJy),UL_95%(Jy/sr)
VLA,11:13:14.0393,+29:04:10.044,2022-04-26T23:28:08.000,0.5,0.633,1.039575,0.064,0.001 ,0.250 ,0.490 ,0.005 
VLA,11:13:14.0393,+29:04:10.044,2022-04-26T23:28:08.000,0.5,0.633,1.103579,0.064,0.029 ,0.151 ,0.324 ,0.003 
VLA,11:13:14.0393,+29:04:10.044,2022-04-26T23:28:08.000,0.5,0.633,1.167584,0.064,0.019 ,0.100 ,0.215 ,0.002 
VLA,11:13:14.0393,+29:04:10.044,2022-04-26T23:28:08.000,0.5,0.633,1.231589,0.064,0.012 ,0.070 ,0.149 ,0.002 
VLA,11:13:14.0393,+29:04:10.044,2022-04-26T23:28:08.000,0.5,0.633,1.295593,0.064,0.015 ,0.509 ,1.012 ,0.011 
VLA,11:13:14.0393,+29:04:10.044,2022-04-26T23:28:08.000,0.5,0.633,1.359598,0.064,0.042 ,0.131 ,0.297 ,0.003 
VLA,11:13:14.0393,+29:04:10.044,2022-04-26T23:28:08.000,0.5,0.633,1.423602,0.064,0.014 ,0.189 ,0.384 ,0.004 
VLA,11:13:14.0393,+29:04:10.044,2022-04-26T23:28:08.000,0.5,0.633,1.487607,0.064,-0.033 ,0.098 ,0.158 ,0.002 
VLA,11:13:14.0393,+29:04:10.044,2022-04-26T23:28:08.000,0.5,0.633,1.551612,0.064,-0.009 ,0.919 ,1.792 ,0.019 
VLA,11:13:14.0393,+29:04:10.044,2022-04-26T23:28:08.000,0.5,0.633,1.615616,0.064,0.019 ,0.319 ,0.644 ,0.007 
VLA,11:13:14.0393,+29:04:10.044,2022-04-26T23:28:08.000,0.5,0.633,1.679621,0.064,0.022 ,0.058 ,0.136 ,0.001 
VLA,11:13:14.0393,+29:04:10.044,2022-04-26T23:28:08.000,0.5,0.633,1.743625,0.064,0.023 ,0.289 ,0.589 ,0.006 
VLA,11:13:14.0393,+29:04:10.044,2022-04-26T23:28:08.000,0.5,0.633,1.80763,0.064,0.023 ,0.044 ,0.109 ,0.001 
VLA,11:13:14.0393,+29:04:10.044,2022-04-26T23:28:08.000,0.5,0.633,1.871635,0.064,0.038 ,0.116 ,0.265 ,0.003 
VLA,11:13:14.0393,+29:04:10.044,2022-04-26T23:28:08.000,0.5,0.633,1.935639,0.064,0.018 ,0.164 ,0.341 ,0.004 
VLA,11:13:14.0393,+29:04:10.044,2022-04-26T23:28:08.000,0.5,0.633,1.999644,0.064,0.016 ,0.071 ,0.155 ,0.002 
VLA,11:12:31.2536,+29:13:30.970,2022-06-26T21:02:59.000,0.5,0.321,2.051152,0.128,0.036 ,0.036 ,0.106 ,0.004 
VLA,11:12:31.2536,+29:13:30.970,2022-06-26T21:02:59.000,0.5,0.321,2.179162,0.128,0.019 ,0.053 ,0.123 ,0.005 
VLA,11:12:31.2536,+29:13:30.970,2022-06-26T21:02:59.000,0.5,0.321,2.307171,0.128,0.027 ,0.160 ,0.340 ,0.014 
VLA,11:12:31.2536,+29:13:30.970,2022-06-26T21:02:59.000,0.5,0.321,2.435181,0.128,0.023 ,0.017 ,0.056 ,0.002 
VLA,11:12:31.2536,+29:13:30.970,2022-06-26T21:02:59.000,0.5,0.321,2.56319,0.128,0.017 ,0.013 ,0.043 ,0.002 
